claim,claim_id,evidence,evidence_level,paper_action,scope,status
Nine exact/oracle cases pass and each repeated canonical trace is byte-identical.,C-RQ1-EXACT,summary/rq1_exact_cases.csv; summary/rq1_repeat_hashes.csv,Exact,state as measured,RQ1,measured
BookSim2 and STAGE both identify hotspot node 5 as the earliest severe congestion case.,C-RQ2-HOTSPOT,summary/rq2_saturation_summary.csv,Trend,state with trend boundary,RQ2,measured
STAGE numerically matches BookSim2 saturation for every traffic pattern.,C-RQ2-SATURATION-EQUIVALENCE,summary/rq2_saturation_summary.csv,Numerical,explicitly reject; only hotspot ordering is eligible,RQ2,not_supported
The exact STAGE uniform-traffic saturation point is identified within the tested range.,C-RQ2-UNIFORM-SATURATION,summary/rq2_saturation_summary.csv,Numerical,report saturation > tested bound 0.60,RQ2,pending
V-TL compute-only exactly reproduces all five Timeloop 16-MAC cycle floors and access counts.,C-RQ3-TL-CYCLES,summary/rq3_timeloop_stage_cycles.csv; summary/rq3_timeloop_stage_accesses.csv,Exact,state as exact schedule replay,RQ3-A,measured
"V-TL exactly reproduces Timeloop cycles, MAC counts, and four-level access counts at all nine registered GEMM, MLP-L1, and attention-QK sizes.",C-RQ3-SIZE-TL,summary/rq3_size_timeloop_stage_scaling.csv; summary/rq3_size_access_scaling.csv,Exact,state as a nine-point exact size extension,RQ3-A size extension,measured
STAGE full-system total cycles are directly equivalent to Timeloop analytical cycles.,C-RQ3-TL-FULLSYSTEM-EQUIVALENCE,summary/rq3_timeloop_stage_cycles.csv,Trend,compare compute floor only; show STAGE-only excess decomposition,RQ3-A,not_supported
Matched V-SS preserves SCALE-Sim timing trends and the MLP-L1 bandwidth outlier.,C-RQ3-SS-TREND,summary/rq3_scalesim_stage_timing.csv,Trend,state as trend; max absolute cycle difference 6.41 percent,RQ3-B,measured
All nine registered V-SS size points stay within the pre-registered 10-percent Trend envelope of SCALE-Sim warm cycles.,C-RQ3-SIZE-SS,summary/rq3_size_scalesim_stage_scaling.csv,Trend,state as Trend only; maximum absolute cycle difference 5.4004 percent,RQ3-B size extension,measured
All five workload and nine size-extension Accelergy bundles have non-empty five-table ERTs with no dummy action or schema fallback; nine one-action checks are exact.,C-ENERGY-ERT,summary/rq3_accelergy_verification.csv; summary/rq3_energy_microbench.csv; summary/rq3_size_accelergy_scaling.csv,Exact shared reference,replace obsolete Accelergy-failed text,Energy,measured
Native Timeloop energy totals numerically equal the shared-ERT rebound totals.,C-ENERGY-NATIVE-EQUALITY,summary/rq3_accelergy_stage_energy.csv,Trend,retain 3.81--3.92 percent arithmetic-binding gap,Energy,not_supported
"The deterministic LeNet-style oracle reaches 98.39 percent on all 10,000 MNIST test images, with identical repeated prediction hashes.",C-MNIST-FUNCTIONAL,summary/mnist_cnn_functional.csv; summary/mnist_cnn_network_summary.csv,Exact functional oracle,"state as PyTorch functional evidence, not STAGE accuracy",CNN feasibility,measured
"BookSim2 and STAGE consume byte-identical registered materialized-im2col cold-start traces, including the 18,337-packet sequential-network trace, and all 12 same-seed repeat groups reproduce exact delivery and metrics hashes.",C-MNIST-NOC-TRACE,summary/mnist_cnn_noc_trace_summary.csv; summary/mnist_cnn_noc_repeat_hashes.csv,Exact,state as an exact finite transport-trace contract; do not call it native CNN execution,CNN NoC trace,measured
BookSim2 and STAGE preserve the five isolated-layer network-makespan ranking (Spearman rho approximately 1.0) and both identify FC1 as dominant.,C-MNIST-NOC-TREND,summary/mnist_cnn_noc_cross_tool.csv; manifests/mnist_cnn_noc_output_manifest.json,Trend,"state as Trend only; report 51,524 versus 18,537 sequential-network cycles descriptively, not as cycle equivalence",CNN NoC trace,measured
"STAGE natively executes the complete CNN numerical graph, including ReLU and average pooling, and reproduces MNIST accuracy.",C-MNIST-STAGE-ENDTOEND,summary/mnist_cnn_stage_layers.csv,Out of scope,claim only exact Conv/im2col and FC cycle/data-movement feasibility; post-ops are synthetic services,CNN feasibility,not_supported
The 4.11/-4.11/-1.11 optical oracle and 132-bit/two-cycle serialization are exact.,C-RQ4-ORACLE,summary/rq4_optical_oracle.csv,Exact,state as exact,RQ4,measured
"Increasing wavelength capacity from 1 to 8 monotonically reduces cycles, conflicts, and backpressure.",C-RQ4-CAPACITY,summary/rq4_matched_transport.csv,Measured paired runtime,state as measured,RQ4,measured
The tested optical transport is faster or lower-energy than the electrical reference.,C-RQ4-OPTICAL-WIN,summary/rq4_matched_transport.csv,Measured paired runtime,state the measured loss: 2049 vs 1025 cycles and 140.52 vs 10.49 nJ for Attention,RQ4,not_supported
The optical model predicts BER accuracy.,C-RQ4-BER,summary/rq4_optical_oracle.csv,Out of scope,state BER not modeled,RQ4,pending
One-axis sweeps expose compute-to-memory/NoC bottleneck migration and plateaus.,C-CODESIGN-MIGRATION,summary/stage_codesign_bottleneck.csv,Measured STAGE-only,state as STAGE-only diagnostic evidence,STAGE-only,measured
Doubling memory ports reduces the diagnosed memory critical stall and exposes NoC as predicted.,C-CODESIGN-CAUSAL,summary/stage_causal_intervention.csv,Measured causal intervention,state as measured,STAGE-only,measured
"The same M=1, K=N=256 workload produces distinct cycle and physical-communication costs across 24 resolved hierarchical mappings and mesh geometries, with exact outputs and deterministic repeated traces.",C-MOT-MAPPING,summary/stage_mot_mapping.csv; manifests/stage_mot_mapping_output_manifest.json,Measured deterministic full-cycle runtime,"state as a joint mapping/topology-geometry sensitivity result, not an isolated topology-only comparison",STAGE-only topology/mapping,measured
INT8 and INT4 reduce packetized bits while conversion cost remains explicit.,C-PRECISION,summary/stage_precision.csv,Measured STAGE-only,state as measured,STAGE-only,measured
Functional and fixed-seed CIM runs reproduce exact hashes; ten-seed error statistics retain evidence and uncertainty.,C-CIM-REPRO,summary/stage_cim_comparison.csv; summary/stage_cim_statistics.csv,Exact plus Trend statistics,state with characterization boundary,STAGE-only CIM,measured
CIM has lower complete energy/op than the digital PE.,C-CIM-ENERGY-WIN,summary/stage_cim_comparison.csv,Trend only,do not claim; egress energy is unknown and digital template is synthetic,STAGE-only CIM,pending
Reported energies are silicon-calibrated power measurements.,C-SILICON-CALIBRATION,summary/rq3_accelergy_stage_energy.csv; summary/rq4_matched_transport.csv,Out of scope,state shared reference/synthetic functional boundaries,All energy,pending
