component,current_source_location,current_implementation,current_scaling,why_current_o2_o4_increases,sidecar_owner,sidecar_scaling,double_count_resolution,status
serializer,"src/HardwareSim.Core/Phase8SerDesPlugins.cs:180,564",Phase8SerDesPlugins default energy_pj_per_bit=0.01; serializer charges original bits,original bits,Not the main cause; traffic actions are comparable,serializer only,original bit count,Do not import current serdes_energy_pj,calibrated_low_nominal_high
deserializer_cdr,"src/HardwareSim.Core/Phase8SerDesPlugins.cs:180,564; experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoB1Smoke.cs:514",Phase8SerDesPlugins same synthetic 0.01 pJ/bit; deserializer charges encoded bits; CDR contributes latency only,encoded bits,Not wavelength-scaled,deserializer/CDR combined literature term,encoded bit count,One combined RX term; no separate hidden CDR charge,calibrated
gearbox,"experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoB1Smoke.cs:509,514",No rate-converting gearbox instantiated in selected runner,none,Excluded,none,would scale with encoded bits if instantiated,Explicit zero with contract,excluded_no_rate_conversion
eo_modulator_driver,"src/HardwareSim.Core/Phase8OpticalPluginContracts.cs:182,192; src/HardwareSim.Core/DeviceModels.cs:270","EO component synthetic 0.04 pJ/bit, while Physical OpticalModel also embeds 0.05 pJ/bit modulator in every optical graph link",encoded bits x E/O actions plus optical graph links,Mux topology creates additional optical graph links that each receive a full embedded stack,E/O issue events only,encoded bit count,Discard current conversion and optical-link energy columns,calibrated
oe_receiver_tia,src/HardwareSim.Core/Phase8OpticalPluginContracts.cs:201; src/HardwareSim.Core/DeviceModels.cs:272,"OE component synthetic 0.04 pJ/bit, while Physical OpticalModel also embeds 0.08 pJ/bit receiver in every optical graph link",encoded bits x O/E actions plus optical graph links,Same full-stack-per-link duplication,O/E issue events only,encoded bit count,Discard current conversion and optical-link energy columns,calibrated
wdm_mux_demux,experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoB1Smoke.cs:450-477,"No WDM dynamic energy parameter; graph introduces EO->mux, mux->waveguide, waveguide->demux, demux->OE optical links",hidden full optical stack per graph link,"O1 has 2 optical-domain graph links per hop; WDM routes have 4, so the full 0.35 pJ/bit stack is applied twice as often",passive insertion loss only,presence/loss budget; lane count affects provisioned source power,Dynamic WDM energy fixed to explicit zero,passive_loss_calibrated
waveguide,src/HardwareSim.Core/PhysicalModel.cs:977-987; src/HardwareSim.Core/DeviceModels.cs:283-301,Physical compiler adds base/length link energy and full OpticalModel stack to optical-domain graph links,"graph-link count, bits, and physical length",More WDM graph segments plus slightly different placement length,propagation loss only,route length in mm,No waveguide dynamic pJ/bit,loss_calibrated
laser,"src/HardwareSim.Core/DeviceModels.cs:268,297; src/HardwareSim.Core/Phase8OpticalPluginContracts.cs:136-142",CSV laser_energy_pj=0 because no powered Laser component is instantiated; OpticalModel silently embeds 0.2 pJ/bit laser term on every optical graph link,hidden bit x optical graph-link count,More optical graph links repeat the embedded laser term,static source per provisioned E/O TX lane,execution time x directed optical edges x wavelengths per edge; required power from receiver budget/WPE,One static laser owner; no per-link-stack laser,calibrated_with_wpe_and_feasibility
thermal_tuning,"src/HardwareSim.Core/DeviceModels.cs:274,300; src/HardwareSim.Core/Phase8OpticalPluginContracts.cs:213-223",CSV tuning_energy_pj=0 because no powered MRR component is instantiated; OpticalModel silently embeds 0.02 pJ/bit tuning on every optical graph link,hidden bit x optical graph-link count,More graph links repeat the embedded tuning term,static active resonators only,execution time x provisioned TX lanes x profile resonators/lane,Low explicitly excludes active tuning; nominal/high own it once,excluded_low_calibrated_nominal_high
encoding_overhead,src/HardwareSim.Core/Phase8SerDesPlugins.cs; experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoB1Smoke.cs:507-514,64B/66B trace expands each 128-bit action to 132 bits,block count,Same overhead per SerDes action; not intrinsically wavelength-dependent,trace encoded bits,ceil(payload/64)*66,Serializer uses original bits; RX and optical electronics use encoded bits,official_standard_contract
receiver_sensitivity_margin,"src/HardwareSim.Core/Phase8OpticalPluginContracts.cs:169,196",Plugin default -20 dBm is synthetic; CSV BER is excluded_not_modeled,not used in current absolute energy,No current causal role,loss budget,required launch = sensitivity + margin + loss,Laser derives from budget once,calibrated_sensitivity_plus_explicit_model_margin
