candidate_id,case_id,control,repeat,status,pass,attempt_id,expected,observed,evidence_level,baseline_trace_sha256,variant_trace_sha256,baseline_cycles,variant_cycles,optical_events,canonical_trace_sha256,baseline_raw_path,variant_raw_path,command,host,failure_reason
"rfbr1-11245d5a2a94897e85a2","unused_optical_express_path","unused_optical_express_path","0","completed","True","negative-controls-attempt-1","Adjacent 0->1 traffic uses the electrical path and emits zero optical transfer events despite compiled optical express resources.","completed","production_typed_graph","7219f4968351084a78178a7193268cef52d74b59b0b6b41ec5f3ee7b0bf7e397","","26","","0","9d0b6101d21fcee213e19c793a099f6bd130d0b1ac39bbc2b978546dd622c86e","experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b4_controls_attempt_1/rfbr1-11245d5a2a94897e85a2-unused-trace","","dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b4-controls","anonymous-host",""
"rfbr1-5e1f7677fdbe8a438f86","unused_optical_express_path","unused_optical_express_path","1","completed","True","negative-controls-attempt-1","Adjacent 0->1 traffic uses the electrical path and emits zero optical transfer events despite compiled optical express resources.","completed","production_typed_graph","7219f4968351084a78178a7193268cef52d74b59b0b6b41ec5f3ee7b0bf7e397","","26","","0","9d0b6101d21fcee213e19c793a099f6bd130d0b1ac39bbc2b978546dd622c86e","experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b4_controls_attempt_1/rfbr1-5e1f7677fdbe8a438f86-unused-trace","","dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b4-controls","anonymous-host",""
"rfbr1-19833df077d03740f746","widened_unused_optical_resource","widened_unused_optical_resource","0","completed","True","negative-controls-attempt-1","Widening every unused optical express link must not change adjacent electrical traffic latency or canonical trace hash.","baseline_cycles=26;variant_cycles=26;baseline_hash=746756173993af2e51ec6ea1ee7c264e7aea2024880444c964dda0f903213d99;variant_hash=746756173993af2e51ec6ea1ee7c264e7aea2024880444c964dda0f903213d99","production_typed_graph_pair","746756173993af2e51ec6ea1ee7c264e7aea2024880444c964dda0f903213d99","746756173993af2e51ec6ea1ee7c264e7aea2024880444c964dda0f903213d99","26","26","0","2bdc92f041317196c7e385a565f923ab0eeef4ad9bfd057601e2b70230252ca6","experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b4_controls_attempt_1/rfbr1-19833df077d03740f746-baseline-trace","experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b4_controls_attempt_1/rfbr1-19833df077d03740f746-variant-trace","dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b4-controls","anonymous-host",""
"rfbr1-c6484074b349d79cf43a","widened_unused_optical_resource","widened_unused_optical_resource","1","completed","True","negative-controls-attempt-1","Widening every unused optical express link must not change adjacent electrical traffic latency or canonical trace hash.","baseline_cycles=26;variant_cycles=26;baseline_hash=746756173993af2e51ec6ea1ee7c264e7aea2024880444c964dda0f903213d99;variant_hash=746756173993af2e51ec6ea1ee7c264e7aea2024880444c964dda0f903213d99","production_typed_graph_pair","746756173993af2e51ec6ea1ee7c264e7aea2024880444c964dda0f903213d99","746756173993af2e51ec6ea1ee7c264e7aea2024880444c964dda0f903213d99","26","26","0","2bdc92f041317196c7e385a565f923ab0eeef4ad9bfd057601e2b70230252ca6","experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b4_controls_attempt_1/rfbr1-c6484074b349d79cf43a-baseline-trace","experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b4_controls_attempt_1/rfbr1-c6484074b349d79cf43a-variant-trace","dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b4-controls","anonymous-host",""
"rfbr1-5b6bce30de2c8d8ca838","inactive_wavelength_change","inactive_wavelength_change","0","completed","True","negative-controls-attempt-1","Changing unused WDM lane 3 must not change lane-0 packet latency or canonical trace hash.","baseline_cycles=75;variant_cycles=75;baseline_hash=4909ef4b05ca2d4fa2282ce7926b2514acf4f1be65fdde419436687d2baf50ff;variant_hash=4909ef4b05ca2d4fa2282ce7926b2514acf4f1be65fdde419436687d2baf50ff","production_typed_graph_pair","4909ef4b05ca2d4fa2282ce7926b2514acf4f1be65fdde419436687d2baf50ff","4909ef4b05ca2d4fa2282ce7926b2514acf4f1be65fdde419436687d2baf50ff","75","75","66","f3c3ed8870c0f39f2a074765e0cc287fb3eae286b4eb2538fcfb3c1ad17bdc25","experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b4_controls_attempt_1/rfbr1-5b6bce30de2c8d8ca838-baseline-trace","experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b4_controls_attempt_1/rfbr1-5b6bce30de2c8d8ca838-variant-trace","dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b4-controls","anonymous-host",""
"rfbr1-e5c2d168a470dfb4f67d","inactive_wavelength_change","inactive_wavelength_change","1","completed","True","negative-controls-attempt-1","Changing unused WDM lane 3 must not change lane-0 packet latency or canonical trace hash.","baseline_cycles=75;variant_cycles=75;baseline_hash=4909ef4b05ca2d4fa2282ce7926b2514acf4f1be65fdde419436687d2baf50ff;variant_hash=4909ef4b05ca2d4fa2282ce7926b2514acf4f1be65fdde419436687d2baf50ff","production_typed_graph_pair","4909ef4b05ca2d4fa2282ce7926b2514acf4f1be65fdde419436687d2baf50ff","4909ef4b05ca2d4fa2282ce7926b2514acf4f1be65fdde419436687d2baf50ff","75","75","66","f3c3ed8870c0f39f2a074765e0cc287fb3eae286b4eb2538fcfb3c1ad17bdc25","experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b4_controls_attempt_1/rfbr1-e5c2d168a470dfb4f67d-baseline-trace","experiments/aspdac/results/results_first_20260718/session_b_opto_noc_reduced_v1/raw/run_1/b4_controls_attempt_1/rfbr1-e5c2d168a470dfb4f67d-variant-trace","dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b4-controls","anonymous-host",""
"rfbr1-cdac6f4d07643309c8e2","payload_unit_mismatch_rejected","payload_unit_mismatch_rejected","0","completed","True","negative-controls-attempt-1","A digital payload connection to an optical input must be rejected by the production editor/validator/compiler.","InvalidOperationException: Link 'unit-mismatch' connects Digital to Optical.","production_editor_validator_compiler_probe","4148b1d8633adf1bd340d2ce656cfc7d54ad48b67f2578316bc77cc80607c811","","0","","0","ab437b4a5ef9b13bccf873bbfc43c837adcab54342abe7bed4c837799cbd9e2e","","","dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b4-controls","anonymous-host",""
"rfbr1-ea3fb77c00fff2ca9100","payload_unit_mismatch_rejected","payload_unit_mismatch_rejected","1","completed","True","negative-controls-attempt-1","A digital payload connection to an optical input must be rejected by the production editor/validator/compiler.","InvalidOperationException: Link 'unit-mismatch' connects Digital to Optical.","production_editor_validator_compiler_probe","4148b1d8633adf1bd340d2ce656cfc7d54ad48b67f2578316bc77cc80607c811","","0","","0","ab437b4a5ef9b13bccf873bbfc43c837adcab54342abe7bed4c837799cbd9e2e","","","dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b4-controls","anonymous-host",""
"rfbr1-c8f6a17de67d2abd023f","oversubscribed_wavelength_conflict","oversubscribed_wavelength_conflict","0","completed","True","negative-controls-attempt-1","Demand above four production WDM channels must produce explicit conflict or rejection.","status=expected_compile_rejection;wavelength_conflicts=1","reused_B0_production_contract_execution","484c56c45a37e27a111ea7bc3087d785ba6d0755ca30165cd2da28fde2cd3d83","","0","","0","7841026947e8e7954527cc96a11855a23e05b6f7354c19da6a3e802fdef180ec","summary/b0_component_contracts_attempt_2.json","","dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b4-controls","anonymous-host",""
"rfbr1-1a92f39e1894f6ce7c51","oversubscribed_wavelength_conflict","oversubscribed_wavelength_conflict","1","completed","True","negative-controls-attempt-1","Demand above four production WDM channels must produce explicit conflict or rejection.","status=expected_compile_rejection;wavelength_conflicts=1","reused_B0_production_contract_execution","484c56c45a37e27a111ea7bc3087d785ba6d0755ca30165cd2da28fde2cd3d83","","0","","0","7841026947e8e7954527cc96a11855a23e05b6f7354c19da6a3e802fdef180ec","summary/b0_component_contracts_attempt_2.json","","dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b4-controls","anonymous-host",""
"rfbr1-6cada3a70eb519d97b5e","failed_receiver_margin","failed_receiver_margin","0","completed","True","negative-controls-attempt-1","A -7 dB receiver margin must emit P8ReceiverMarginBelowSensitivity as a defined production-model warning.","received_power_dbm=-25;margin_db=-7;warning=P8ReceiverMarginBelowSensitivity","production_optical_power_budget_model","7bfd455cde7f0d5e23e6944e48fc1068d05759b97d2de69afb541e1333a79139","","0","","0","31946e79e9d67c6d3321e8495c6905eb020faee0ff9d7cafe8df5705cbec6d74","","","dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b4-controls","anonymous-host",""
"rfbr1-e7185e964ffa7db67482","failed_receiver_margin","failed_receiver_margin","1","completed","True","negative-controls-attempt-1","A -7 dB receiver margin must emit P8ReceiverMarginBelowSensitivity as a defined production-model warning.","received_power_dbm=-25;margin_db=-7;warning=P8ReceiverMarginBelowSensitivity","production_optical_power_budget_model","7bfd455cde7f0d5e23e6944e48fc1068d05759b97d2de69afb541e1333a79139","","0","","0","31946e79e9d67c6d3321e8495c6905eb020faee0ff9d7cafe8df5705cbec6d74","","","dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b4-controls","anonymous-host",""
"rfbr1-74a2bbe693eb7a0fc88d","transport_only_invariant_hash","transport_only_invariant_hash","0","completed","True","negative-controls-attempt-1","E128 and O1 may differ only in transport hash; workload/traffic/mapping/compute/memory/endpoint and invariant-pair hashes must match.","non_transport_hashes_equal=True;transport_hashes_differ=True;invariant_pair_sha256=8d800116f484038442f8abf95c780082251950b8ffda38160e8d1e0cd47dc0e4","reused_B1_production_pair","608cc384ac91edc0d6ede04990c47919990c0cf5877bdbf8539c3cc2c1f69dac","","42","364","0","ad19fb7464ed67cde9cc3d48fa7d01cf4be167e81bd3fd5fb4b9c02fa8cfa99c","summary/b1_main_matrix_adjudicated.json","","dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b4-controls","anonymous-host",""
"rfbr1-c9d0b189eb0178f7eb41","transport_only_invariant_hash","transport_only_invariant_hash","1","completed","True","negative-controls-attempt-1","E128 and O1 may differ only in transport hash; workload/traffic/mapping/compute/memory/endpoint and invariant-pair hashes must match.","non_transport_hashes_equal=True;transport_hashes_differ=True;invariant_pair_sha256=8d800116f484038442f8abf95c780082251950b8ffda38160e8d1e0cd47dc0e4","reused_B1_production_pair","608cc384ac91edc0d6ede04990c47919990c0cf5877bdbf8539c3cc2c1f69dac","","42","364","0","ad19fb7464ed67cde9cc3d48fa7d01cf4be167e81bd3fd5fb4b9c02fa8cfa99c","summary/b1_main_matrix_adjudicated.json","","dotnet run --project experiments/aspdac/tests/results_first_opto_runner/ResultsFirstOptoRunner.csproj -c Release --no-build -- reduced-b4-controls","anonymous-host",""
